code,date,close,slope_standard
159628,2023-07-18,1.025,-0.04189232120283449
159628,2023-07-19,1.022,-0.04270100911857065
159628,2023-07-20,1.008,-0.06645177595976452
159628,2023-07-21,1.006,-0.08055241708649431
159628,2023-07-24,1.006,-0.09902268576196875
159628,2023-07-25,1.022,-0.10323262118414765
159628,2023-07-26,1.014,-0.10186338385295277
159628,2023-07-27,1.007,-0.10502023257576511
159628,2023-07-28,1.013,-0.10037353963174576
159628,2023-07-31,1.017,-0.09647460852850408
159628,2023-08-01,1.016,-0.09309720895541661
159629,2023-07-05,0.93,-0.051032392486139215
159629,2023-07-06,0.928,-0.06026983156084943
159629,2023-07-07,0.922,-0.06972900279351768
159629,2023-07-10,0.922,-0.07716492775217505
159629,2023-07-11,0.93,-0.07861106244054833
159629,2023-07-12,0.917,-0.08571284923579248
159629,2023-07-13,0.925,-0.08488820265254204
159629,2023-07-14,0.925,-0.0788320491693848
159629,2023-07-17,0.921,-0.07101841198771476
159629,2023-07-18,0.921,-0.06234059771616129
159629,2023-07-19,0.918,-0.06426219750240435
159629,2023-07-20,0.907,-0.08208443944626591
159629,2023-07-21,0.906,-0.09481094049006945
159629,2023-07-24,0.904,-0.10970359762764832
159629,2023-07-25,0.919,-0.11193180078513726
159629,2023-07-26,0.914,-0.10938985172047039
159629,2023-07-27,0.907,-0.1101022727541325
159629,2023-07-28,0.915,-0.10165677781882733
159629,2023-07-31,0.921,-0.09278844512963753
159629,2023-08-01,0.919,-0.08568921490804751
159630,2023-07-05,1.061,-0.07320212887212137
159630,2023-07-06,1.054,-0.08666725012308032
159630,2023-07-07,1.049,-0.10077378700602145
159630,2023-07-10,1.055,-0.10998957273915749
159630,2023-07-11,1.06,-0.11480992892134827
159630,2023-07-12,1.055,-0.1213270379046161
159630,2023-07-13,1.071,-0.112364420476319
159630,2023-07-14,1.075,-0.09493807016043126
159630,2023-07-17,1.065,-0.08684838092176946
159630,2023-07-18,1.063,-0.07873391033640212
159630,2023-07-19,1.062,-0.07774439629696522
159630,2023-07-20,1.055,-0.0863633794564771
159630,2023-07-21,1.057,-0.08922018160265312
159630,2023-07-24,1.051,-0.09430853316221847
159630,2023-07-25,1.08,-0.08744671541788163
159630,2023-07-26,1.078,-0.08080862779980007
159630,2023-07-27,1.075,-0.07189631005004031
159630,2023-07-28,1.102,-0.050598209354139966
159630,2023-07-31,1.106,-0.03301341734898574
159630,2023-08-01,1.102,-0.023574523197280758
159631,2023-07-05,0.932,-0.03459203068016804
159631,2023-07-06,0.924,-0.046313582280351547
159631,2023-07-07,0.92,-0.05932754085590606
159631,2023-07-10,0.926,-0.06752532834996151
159631,2023-07-11,0.93,-0.07146883983183719
159631,2023-07-12,0.928,-0.07704710315285404
159631,2023-07-13,0.94,-0.06655470062771762
159631,2023-07-14,0.944,-0.048920168552801936
159631,2023-07-17,0.935,-0.04039649883592295
159631,2023-07-18,0.933,-0.03208710961924106
159631,2023-07-19,0.932,-0.03084971286970137
159631,2023-07-20,0.927,-0.03887963159366225
159631,2023-07-21,0.927,-0.04343483691465267
159631,2023-07-24,0.922,-0.051381804144861404
159631,2023-07-25,0.946,-0.049009527033502004
159631,2023-07-26,0.945,-0.045894714521087475
159631,2023-07-27,0.945,-0.0375968101627724
159631,2023-07-28,0.964,-0.018690342542795727
159631,2023-07-31,0.97,-0.0012491703857321545
159631,2023-08-01,0.966,0.0069417574529040075
159632,2023-07-05,1.269,0.015034533321323524
159632,2023-07-06,1.268,-0.008138403135979378
159632,2023-07-07,1.262,-0.03019186226174523
159632,2023-07-10,1.25,-0.055128793349982164
159632,2023-07-11,1.255,-0.06397880303411861
159632,2023-07-12,1.258,-0.07081804827001267
159632,2023-07-13,1.275,-0.06779182121183336
159632,2023-07-14,1.282,-0.05738873280880902
159632,2023-07-17,1.293,-0.04431717538463218
159632,2023-07-18,1.304,-0.028201967154963876
159632,2023-07-19,1.326,-0.0016095113852082233
159632,2023-07-20,1.31,0.00796745807825557
159632,2023-07-21,1.286,-0.009040524789944241
159632,2023-07-24,1.287,-0.020218108841631725
159632,2023-07-25,1.284,-0.028567741723212844
159632,2023-07-26,1.289,-0.036606424157166674
159632,2023-07-27,1.301,-0.02794601862643631
159632,2023-07-28,1.292,-0.02979604331172206
159632,2023-07-31,1.308,-0.024562219849375195
159632,2023-08-01,1.309,-0.021841569870511016
159633,2023-07-05,0.936,-0.05244308543548627
159633,2023-07-06,0.934,-0.060941414542621426
159633,2023-07-07,0.927,-0.07078108854046866
159633,2023-07-10,0.928,-0.07809086735305398
159633,2023-07-11,0.935,-0.07948331129924135
159633,2023-07-12,0.923,-0.08646311160775295
159633,2023-07-13,0.931,-0.0850775057622609
159633,2023-07-14,0.93,-0.07905942032977975
159633,2023-07-17,0.927,-0.07130506330851474
159633,2023-07-18,0.927,-0.06215872609153489
159633,2023-07-19,0.924,-0.06408714112945513
159633,2023-07-20,0.912,-0.08172501906314306
159633,2023-07-21,0.911,-0.09487014072881343
159633,2023-07-24,0.909,-0.10954864570257904
159633,2023-07-25,0.923,-0.11280273748649507
159633,2023-07-26,0.919,-0.11012517148074563
159633,2023-07-27,0.913,-0.11066304017716207
159633,2023-07-28,0.92,-0.10337648756485653
159633,2023-07-31,0.926,-0.09451034493226532
159633,2023-08-01,0.925,-0.08677775053125283
159635,2023-07-05,1.08,-0.04447203900600674
159635,2023-07-06,1.071,-0.03881169689717714
159635,2023-07-07,1.077,-0.03085060835288053
