code,name,date,close,scale,type,slope_standard
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-06,0.751,19.71,QDII,-0.09219063574820235
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-07,0.748,19.71,QDII,-0.11677785942996843
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-10,0.754,19.71,QDII,-0.13494732967846723
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-11,0.766,19.71,QDII,-0.1306899052821662
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-12,0.776,19.71,QDII,-0.12416774949923783
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-13,0.81,19.71,QDII,-0.07182808860014432
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-14,0.811,19.71,QDII,-0.008333746787457876
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-17,0.797,19.71,QDII,0.03233438524718632
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-18,0.792,19.71,QDII,0.06377087386867501
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-19,0.791,19.71,QDII,0.07378853241799799
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-20,0.782,19.71,QDII,0.06554071681932996
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-21,0.787,19.71,QDII,0.07166310409803173
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-24,0.77,19.71,QDII,0.06466495076048122
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-25,0.816,19.71,QDII,0.07886695908156029
159608,广发中证稀有金属主题ETF行情,2023-06-28,0.659,2.27,指数型-股票,-0.04564961086571384
159608,广发中证稀有金属主题ETF行情,2023-06-29,0.661,2.27,指数型-股票,-0.06092845048191189
159608,广发中证稀有金属主题ETF行情,2023-06-30,0.674,2.27,指数型-股票,-0.04908607021633169
159608,广发中证稀有金属主题ETF行情,2023-07-03,0.679,2.27,指数型-股票,-0.03419107408991149
159608,广发中证稀有金属主题ETF行情,2023-07-04,0.68,2.27,指数型-股票,-0.029301124729998636
159608,广发中证稀有金属主题ETF行情,2023-07-05,0.701,2.27,指数型-股票,-0.014631231347415079
159608,广发中证稀有金属主题ETF行情,2023-07-06,0.685,2.27,指数型-股票,-0.008958451775453947
159608,广发中证稀有金属主题ETF行情,2023-07-07,0.68,2.27,指数型-股票,-0.003086337450719924
159608,广发中证稀有金属主题ETF行情,2023-07-10,0.686,2.27,指数型-股票,0.0029854167474368536
159608,广发中证稀有金属主题ETF行情,2023-07-11,0.686,2.27,指数型-股票,0.009616866246060602
159608,广发中证稀有金属主题ETF行情,2023-07-12,0.684,2.27,指数型-股票,0.011805514968074656
159608,广发中证稀有金属主题ETF行情,2023-07-13,0.69,2.27,指数型-股票,0.02786192826878836
159608,广发中证稀有金属主题ETF行情,2023-07-14,0.683,2.27,指数型-股票,0.0404269501205732
159608,广发中证稀有金属主题ETF行情,2023-07-17,0.675,2.27,指数型-股票,0.04113704710602893
159608,广发中证稀有金属主题ETF行情,2023-07-18,0.674,2.27,指数型-股票,0.0369782656379377
159608,广发中证稀有金属主题ETF行情,2023-07-19,0.672,2.27,指数型-股票,0.023028224213598292
159608,广发中证稀有金属主题ETF行情,2023-07-20,0.678,2.27,指数型-股票,0.009400961590325855
159608,广发中证稀有金属主题ETF行情,2023-07-21,0.668,2.27,指数型-股票,-0.00879168124857986
159608,广发中证稀有金属主题ETF行情,2023-07-24,0.656,2.27,指数型-股票,-0.039403873095803885
159608,广发中证稀有金属主题ETF行情,2023-07-25,0.67,2.27,指数型-股票,-0.058593311009329394
159609,浦银安盛中证光伏产业ETF行情,2023-06-28,0.717,2.79,指数型-股票,0.06481338541893598
159609,浦银安盛中证光伏产业ETF行情,2023-06-29,0.714,2.79,指数型-股票,0.07840859440228777
159609,浦银安盛中证光伏产业ETF行情,2023-06-30,0.725,2.79,指数型-股票,0.09880611818127934
159609,浦银安盛中证光伏产业ETF行情,2023-07-03,0.722,2.79,指数型-股票,0.1073388812142613
159609,浦银安盛中证光伏产业ETF行情,2023-07-04,0.717,2.79,指数型-股票,0.10588015227721677
159609,浦银安盛中证光伏产业ETF行情,2023-07-05,0.706,2.79,指数型-股票,0.08924457675357082
159609,浦银安盛中证光伏产业ETF行情,2023-07-06,0.703,2.79,指数型-股票,0.06841910639482938
159609,浦银安盛中证光伏产业ETF行情,2023-07-07,0.692,2.79,指数型-股票,0.04113495232831112
159609,浦银安盛中证光伏产业ETF行情,2023-07-10,0.712,2.79,指数型-股票,0.027562455164632356
159609,浦银安盛中证光伏产业ETF行情,2023-07-11,0.707,2.79,指数型-股票,0.009133083688560908
159609,浦银安盛中证光伏产业ETF行情,2023-07-12,0.712,2.79,指数型-股票,-0.01381137440422992
159609,浦银安盛中证光伏产业ETF行情,2023-07-13,0.719,2.79,指数型-股票,-0.0166390831377996
159609,浦银安盛中证光伏产业ETF行情,2023-07-14,0.707,2.79,指数型-股票,-0.020913847136534987
159609,浦银安盛中证光伏产业ETF行情,2023-07-17,0.703,2.79,指数型-股票,-0.027508527411141067
159609,浦银安盛中证光伏产业ETF行情,2023-07-18,0.697,2.79,指数型-股票,-0.03665389545030261
159609,浦银安盛中证光伏产业ETF行情,2023-07-19,0.687,2.79,指数型-股票,-0.05563314017957007
159609,浦银安盛中证光伏产业ETF行情,2023-07-20,0.683,2.79,指数型-股票,-0.07179314586416467
159609,浦银安盛中证光伏产业ETF行情,2023-07-21,0.677,2.79,指数型-股票,-0.08736904449185201
159609,浦银安盛中证光伏产业ETF行情,2023-07-24,0.668,2.79,指数型-股票,-0.10089529864034402
159609,浦银安盛中证光伏产业ETF行情,2023-07-25,0.681,2.79,指数型-股票,-0.10587991707270397
159610,景顺中证500增强策略ETF行情,2023-06-28,0.821,5.21,指数型-股票,-0.017248429158246606
159610,景顺中证500增强策略ETF行情,2023-06-29,0.822,5.21,指数型-股票,-0.020253353757244102
159610,景顺中证500增强策略ETF行情,2023-06-30,0.828,5.21,指数型-股票,-0.015142905958408148
159610,景顺中证500增强策略ETF行情,2023-07-03,0.831,5.21,指数型-股票,-0.008414979483932068
159610,景顺中证500增强策略ETF行情,2023-07-04,0.832,5.21,指数型-股票,-0.012907071192851921
159610,景顺中证500增强策略ETF行情,2023-07-05,0.827,5.21,指数型-股票,-0.01965436240140435
159610,景顺中证500增强策略ETF行情,2023-07-06,0.823,5.21,指数型-股票,-0.029531664065075614
159610,景顺中证500增强策略ETF行情,2023-07-07,0.825,5.21,指数型-股票,-0.0358385765337604
159610,景顺中证500增强策略ETF行情,2023-07-10,0.824,5.21,指数型-股票,-0.03968253489795434
159610,景顺中证500增强策略ETF行情,2023-07-11,0.83,5.21,指数型-股票,-0.03962790307292381
159610,景顺中证500增强策略ETF行情,2023-07-12,0.822,5.21,指数型-股票,-0.04335820678249055
159610,景顺中证500增强策略ETF行情,2023-07-13,0.834,5.21,指数型-股票,-0.03492105681112397
159610,景顺中证500增强策略ETF行情,2023-07-14,0.831,5.21,指数型-股票,-0.024286845404102596
159610,景顺中证500增强策略ETF行情,2023-07-17,0.831,5.21,指数型-股票,-0.014012713765326933
159610,景顺中证500增强策略ETF行情,2023-07-18,0.828,5.21,指数型-股票,-0.004699973130513255
159610,景顺中证500增强策略ETF行情,2023-07-19,0.827,5.21,指数型-股票,-0.006097609426503121
159610,景顺中证500增强策略ETF行情,2023-07-20,0.818,5.21,指数型-股票,-0.024727697888407858
159610,景顺中证500增强策略ETF行情,2023-07-21,0.816,5.21,指数型-股票,-0.03865190650987018
159610,景顺中证500增强策略ETF行情,2023-07-24,0.817,5.21,指数型-股票,-0.0487499604233206
159610,景顺中证500增强策略ETF行情,2023-07-25,0.829,5.21,指数型-股票,-0.04953156086057689
159611,广发中证全指电力公用事业ETF行情,2023-06-28,0.951,36.52,指数型-股票,-0.06545478068559701
159611,广发中证全指电力公用事业ETF行情,2023-06-29,0.944,36.52,指数型-股票,-0.04252543214155323
159611,广发中证全指电力公用事业ETF行情,2023-06-30,0.94,36.52,指数型-股票,-0.02151222138984155
159611,广发中证全指电力公用事业ETF行情,2023-07-03,0.948,36.52,指数型-股票,0.004767325536667389
159611,广发中证全指电力公用事业ETF行情,2023-07-04,0.941,36.52,指数型-股票,0.00807206316187799
159611,广发中证全指电力公用事业ETF行情,2023-07-05,0.938,36.52,指数型-股票,0.005399878609254206
159611,广发中证全指电力公用事业ETF行情,2023-07-06,0.936,36.52,指数型-股票,0.006786268592187471
