基金代码,基金简称,类型,2023-05-09-单位净值,2023-05-09-累计净值,2023-05-08-单位净值,2023-05-08-累计净值,增长值,增长率,市价,折价率
159788,易方达中证港股通中国100ETF行情,指数型-股票,0.9471,0.9471,0.9671,0.9671,-0.0200,-2.07%,0.9460,0.12%
159789,建信中证饮料主题ETF行情,指数型-股票,0.8383,0.8383,0.8366,0.8366,0.0017,0.20%,0.8370,0.16%
159790,华夏中证内地低碳经济主题ETF行情,指数型-股票,0.7159,0.7159,0.7265,0.7265,-0.0106,-1.46%,0.7170,-0.15%
159791,华夏沪深300ESG基准ETF行情,指数型-股票,0.9192,0.9192,0.9270,0.9270,-0.0078,-0.84%,0.9220,-0.30%
159792,富国中证港股通互联网ETF行情,指数型-股票,0.6122,0.6122,0.6295,0.6295,-0.0173,-2.75%,0.6120,0.03%
159793,平安中证沪港深线上消费主题ETF行情,指数型-股票,0.8896,0.8896,0.9143,0.9143,-0.0247,-2.70%,0.8900,-0.04%
159795,汇添富中证智能汽车主题ETF行情,指数型-股票,0.7778,0.7778,0.7814,0.7814,-0.0036,-0.46%,0.7790,-0.15%
159796,汇添富中证电池主题ETF行情,指数型-股票,0.7516,0.7516,0.7671,0.7671,-0.0155,-2.02%,0.7510,0.08%
159797,汇添富中证全指医疗器械ETF行情,指数型-股票,0.9486,0.9486,0.9598,0.9598,-0.0112,-1.17%,0.9450,0.38%
159798,易方达中证消费50ETF行情,指数型-股票,0.9725,0.9725,0.9743,0.9743,-0.0018,-0.18%,0.9720,0.05%
159801,广发国证半导体芯片ETF行情,指数型-股票,---,---,1.0746,1.0746,---,---,1.0530,---
159804,国寿安保创精选88ETF行情,指数型-股票,1.2269,1.2269,1.2460,1.2460,-0.0191,-1.53%,1.2280,-0.09%
159805,鹏华中证传媒ETF行情,指数型-股票,1.3077,1.3077,1.3446,1.3446,-0.0369,-2.74%,1.3100,-0.18%
159806,国泰中证新能源汽车ETF行情,指数型-股票,0.6453,1.9359,0.6572,1.9716,-0.0119,-1.81%,0.6460,-0.11%
159807,易方达中证科技50ETF行情,指数型-股票,0.5672,1.1344,0.5741,1.1482,-0.0069,-1.20%,0.5680,-0.14%
159808,融通创业板ETF行情,指数型-股票,0.8408,0.8408,0.8510,0.8510,-0.0102,-1.20%,0.8460,-0.62%
159810,浦银安盛创业板ETF行情,指数型-股票,0.8868,0.8868,0.8976,0.8976,-0.0108,-1.20%,0.8870,-0.02%
159811,博时中证5G产业50ETF行情,指数型-股票,0.9826,0.9826,0.9906,0.9906,-0.0080,-0.81%,0.9830,-0.04%
159812,前海开源黄金ETF行情,商品（不含QDII）,4.3894,1.1295,4.3813,1.1274,0.0081,0.18%,4.3900,-0.01%
159813,鹏华国证半导体芯片ETF行情,指数型-股票,0.6825,1.0238,0.6952,1.0428,-0.0127,-1.83%,0.6830,-0.07%
159814,西部利得创业板大盘ETF行情,指数型-股票,0.4153,0.8551,0.4203,0.8654,-0.0050,-1.19%,0.4150,0.07%
159816,鹏华0-4年地方政府债ETF行情,债券型-长债,106.2978,1.0764,106.2451,1.0759,0.0527,0.05%,105.7300,0.53%
159819,易方达中证人工智能主题ETF行情,指数型-股票,0.8731,0.8731,0.8772,0.8772,-0.0041,-0.47%,0.8720,0.13%
159820,天弘中证500ETF行情,指数型-股票,0.9950,0.9950,1.0055,1.0055,-0.0105,-1.04%,0.9960,-0.10%
159821,中银证券创业板ETF行情,指数型-股票,0.8266,0.8266,0.8364,0.8364,-0.0098,-1.17%,0.8330,-0.77%
159822,银华工银南方东英标普中国新经济ETF(QDII)行情,QDII,---,---,0.6254,0.6254,---,---,0.6140,---
159823,嘉实H股50ETF(QDII)行情,QDII,0.6902,0.6902,0.7069,0.7069,-0.0167,-2.36%,0.6900,0.03%
159824,博时新能源汽车ETF行情,指数型-股票,0.9691,0.9691,0.9865,0.9865,-0.0174,-1.76%,0.9680,0.11%
159825,富国中证农业主题ETF行情,指数型-股票,0.8033,0.8033,0.8032,0.8032,0.0001,0.01%,0.8040,-0.09%
159827,银华中证农业主题ETF行情,指数型-股票,0.8454,0.8454,0.8449,0.8449,0.0005,0.06%,0.8460,-0.07%
159828,国泰中证医疗ETF行情,指数型-股票,0.5649,0.5649,0.5731,0.5731,-0.0082,-1.43%,0.5650,-0.02%
159830,天弘上海金ETF行情,商品（不含QDII）,4.3072,1.1460,4.3007,1.1443,0.0065,0.15%,4.3080,-0.02%
159831,嘉实上海金ETF行情,商品（不含QDII）,4.4474,1.1186,4.4407,1.1170,0.0067,0.15%,4.4460,0.03%
159833,大成上海金ETF行情,商品（不含QDII）,4.3947,1.1157,4.3883,1.1141,0.0064,0.15%,4.3890,0.13%
159834,南方上海金ETF行情,指数型-股票,4.5862,1.1197,4.5791,1.1179,0.0071,0.16%,4.5890,-0.06%
159835,建信中证创新药产业ETF行情,指数型-股票,0.6853,0.6853,0.6982,0.6982,-0.0129,-1.85%,0.6850,0.04%
159836,天弘创业板300ETF行情,指数型-股票,0.8247,0.8247,0.8366,0.8366,-0.0119,-1.42%,0.8240,0.08%
159837,易方达中证生物科技主题ETF行情,指数型-股票,0.5546,0.5546,0.5635,0.5635,-0.0089,-1.58%,0.5550,-0.07%
159838,博时医药50ETF行情,指数型-股票,0.6849,0.6849,0.6922,0.6922,-0.0073,-1.05%,0.6870,-0.31%
159839,汇添富国证生物医药ETF行情,指数型-股票,0.4832,0.4832,0.4935,0.4935,-0.0103,-2.09%,0.4820,0.25%
159840,工银瑞信国证新能源车电池ETF行情,指数型-股票,0.6408,0.6408,0.6533,0.6533,-0.0125,-1.91%,0.6400,0.12%
159841,天弘中证全指证券公司ETF行情,指数型-股票,0.8967,0.8967,0.8863,0.8863,0.0104,1.17%,0.8950,0.19%
159842,银华中证全指证券公司ETF行情,指数型-股票,0.9394,0.9394,0.9287,0.9287,0.0107,1.15%,0.9370,0.26%
159843,招商国证食品饮料ETF行情,指数型-股票,0.8041,0.8041,0.8041,0.8041,0.0000,0.00%,0.8060,-0.24%
159845,华夏中证1000ETF行情,指数型-股票,2.6458,1.0968,2.6819,1.1118,-0.0361,-1.35%,2.6470,-0.05%
159847,易方达中证医疗ETF行情,指数型-股票,0.5138,0.5138,0.5212,0.5212,-0.0074,-1.42%,0.5180,-0.82%
159848,国联安中证全指证券公司ETF行情,指数型-股票,---,---,0.7854,0.9735,---,---,0.7950,---
159849,招商中证生物科技主题ETF行情,指数型-股票,0.5900,0.5900,0.5995,0.5995,-0.0095,-1.58%,0.5900,0.00%
159850,华夏恒生中国企业ETF(QDII)行情,QDII,0.6291,0.6291,0.6436,0.6436,-0.0145,-2.25%,0.6300,-0.14%
159851,华宝中证金融科技主题ETF行情,指数型-股票,1.2089,1.2089,1.2135,1.2135,-0.0046,-0.38%,1.2090,-0.01%
159852,嘉实中证软件服务ETF行情,指数型-股票,1.0079,1.0079,1.0128,1.0128,-0.0049,-0.48%,1.0080,-0.01%
159853,南方中证科技100ETF行情,指数型-股票,0.8772,0.8772,0.8872,0.8872,-0.0100,-1.13%,0.8780,-0.09%
159855,银华中证影视主题ETF行情,指数型-股票,1.0850,1.0850,1.0927,1.0927,-0.0077,-0.70%,1.0840,0.09%
159856,工银瑞信中证沪港深互联网ETF行情,指数型-股票,0.6050,0.6050,0.6147,0.6147,-0.0097,-1.58%,0.6060,-0.17%
159857,天弘中证光伏产业ETF行情,指数型-股票,1.0261,1.0261,1.0444,1.0444,-0.0183,-1.75%,1.0250,0.11%
159858,南方中证创新药产业ETF行情,指数型-股票,0.6822,0.6822,0.6956,0.6956,-0.0134,-1.93%,0.6830,-0.12%
