date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2019-01-17,22.94,22.2,22.94,22.07,36385,81913985.0,3.77,-3.69,-0.85,6.62,603348
2019-01-18,22.2,22.28,22.38,21.9,25019,55541770.0,2.16,0.36,0.08,4.55,603348
2019-01-21,22.15,22.08,22.41,22.01,21685,48124708.0,1.8,-0.9,-0.2,3.94,603348
2019-01-22,22.15,22.39,22.79,22.03,34692,78006736.0,3.44,1.4,0.31,6.31,603348
2019-01-23,22.47,23.15,23.15,22.33,56592,129645170.0,3.66,3.39,0.76,10.29,603348
2019-01-24,22.84,22.9,23.1,22.66,45733,104547256.0,1.9,-1.08,-0.25,8.32,603348
2019-01-25,22.9,22.04,22.9,22.04,40774,91571017.0,3.76,-3.76,-0.86,7.41,603348
2019-01-28,22.14,21.41,22.31,21.33,31625,68929671.0,4.45,-2.86,-0.63,5.75,603348
2019-01-29,21.49,20.76,21.62,20.1,25182,52378693.0,7.1,-3.04,-0.65,4.58,603348
2019-01-30,20.76,20.76,21.06,20.53,16908,35161047.0,2.55,0.0,0.0,3.07,603348
2019-01-31,20.81,20.11,21.05,20.01,25738,52563966.0,5.01,-3.13,-0.65,4.68,603348
2019-02-01,20.4,20.57,20.61,20.25,16308,33369081.0,1.79,2.29,0.46,2.97,603348
2019-02-11,20.7,21.18,21.25,20.7,19786,41516352.0,2.67,2.97,0.61,3.6,603348
2019-02-12,21.27,21.36,21.65,21.12,25719,54923006.0,2.5,0.85,0.18,4.68,603348
2019-02-13,21.52,21.7,21.85,21.22,34896,75209713.0,2.95,1.59,0.34,6.34,603348
2019-02-14,21.57,21.67,21.84,21.48,26668,57652441.0,1.66,-0.14,-0.03,4.85,603348
2019-02-15,21.67,21.56,21.82,21.51,25012,54143059.0,1.43,-0.51,-0.11,4.55,603348
2019-02-18,21.72,22.25,22.25,21.62,39597,87042628.0,2.92,3.2,0.69,7.2,603348
2019-02-19,22.85,22.07,22.87,21.92,53184,119104096.0,4.27,-0.81,-0.18,9.67,603348
2019-02-20,21.9,22.07,22.07,21.62,32425,70964497.0,2.04,0.0,0.0,5.9,603348
2019-02-21,22.22,21.85,22.35,21.82,39496,87173570.0,2.4,-1.0,-0.22,7.18,603348
2019-02-22,21.86,22.16,22.17,21.66,34949,76714993.0,2.33,1.42,0.31,6.35,603348
2019-02-25,22.39,23.11,23.18,22.15,79381,180245163.0,4.65,4.29,0.95,14.43,603348
2019-02-26,23.11,22.95,23.49,22.62,85778,198019926.0,3.76,-0.69,-0.16,15.6,603348
2019-02-27,22.95,23.64,24.03,22.8,85135,198398416.0,5.36,3.01,0.69,15.48,603348
2019-02-28,23.45,24.34,24.79,23.29,100643,241821581.0,6.35,2.96,0.7,18.3,603348
2019-03-01,24.2,23.78,24.2,23.6,58689,139850946.0,2.47,-2.3,-0.56,10.67,603348
2019-03-04,23.92,23.79,24.2,23.66,71847,171682512.0,2.27,0.04,0.01,13.06,603348
2019-03-05,23.51,23.9,23.94,23.47,59509,140986308.0,1.98,0.46,0.11,10.82,603348
2019-03-06,23.92,24.62,24.7,23.6,101097,244598239.0,4.6,3.01,0.72,18.38,603348
2019-03-07,24.6,25.31,25.79,24.0,131373,328311104.0,7.27,2.8,0.69,23.89,603348
2019-03-08,24.7,23.49,24.86,23.49,78318,190236337.0,5.41,-7.19,-1.82,14.24,603348
2019-03-11,23.51,24.41,24.5,23.51,53543,128421747.0,4.21,3.92,0.92,9.74,603348
2019-03-12,24.63,25.06,25.29,24.49,86659,216193783.0,3.28,2.66,0.65,15.76,603348
2019-03-13,25.06,24.61,25.71,24.5,84235,211949204.0,4.83,-1.8,-0.45,15.32,603348
2019-03-14,24.5,26.31,27.0,24.33,163793,421258880.0,10.85,6.91,1.7,29.78,603348
2019-03-15,26.18,26.36,26.62,25.62,117290,306818816.0,3.8,0.19,0.05,21.33,603348
2019-03-18,26.16,26.37,26.69,25.71,85127,223600989.0,3.72,0.04,0.01,15.48,603348
2019-03-19,26.5,25.69,26.52,25.5,76126,196840434.0,3.87,-2.58,-0.68,13.84,603348
2019-03-20,25.55,25.05,25.8,24.7,65322,164382164.0,4.28,-2.49,-0.64,11.88,603348
2019-03-21,25.06,25.03,25.22,24.82,49349,123491177.0,1.6,-0.08,-0.02,8.97,603348
2019-03-22,24.94,25.11,25.18,24.63,42178,105008604.0,2.2,0.32,0.08,7.67,603348
2019-03-25,24.79,24.43,24.98,24.4,39462,97662296.0,2.31,-2.71,-0.68,7.17,603348
2019-03-26,24.47,23.8,24.68,23.66,38447,92942714.0,4.18,-2.58,-0.63,6.99,603348
2019-03-27,23.9,23.71,24.08,23.25,29535,69789454.0,3.49,-0.38,-0.09,5.37,603348
2019-03-28,23.6,23.55,23.94,23.46,23081,54732131.0,2.02,-0.67,-0.16,4.2,603348
2019-03-29,23.62,24.26,24.29,23.4,34948,83619836.0,3.78,3.01,0.71,6.35,603348
2019-04-01,24.44,25.22,25.26,24.25,57031,141273248.0,4.16,3.96,0.96,10.37,603348
2019-04-02,25.19,24.94,25.29,24.81,44624,111620632.0,1.9,-1.11,-0.28,8.11,603348
2019-04-03,24.82,25.0,25.2,24.6,37666,94005975.0,2.41,0.24,0.06,6.85,603348
2019-04-04,25.0,24.95,25.2,24.79,38548,96276903.0,1.64,-0.2,-0.05,7.01,603348
2019-04-08,25.0,24.25,25.19,24.0,43453,106732000.0,4.77,-2.81,-0.7,7.9,603348
2019-04-09,24.26,24.37,24.41,24.0,22737,55158957.0,1.69,0.49,0.12,4.13,603348
2019-04-10,24.3,24.7,24.95,23.88,37469,91409409.0,4.39,1.35,0.33,6.81,603348
2019-04-11,24.43,25.57,26.32,24.37,120159,306256880.0,7.89,3.52,0.87,21.85,603348
2019-04-12,25.25,25.7,25.98,24.88,81195,206716153.0,4.3,0.51,0.13,14.76,603348
2019-04-15,26.02,24.87,26.07,24.71,60139,152903956.0,5.29,-3.23,-0.83,10.93,603348
2019-04-16,24.6,24.5,24.6,23.82,51428,124343344.0,3.14,-1.49,-0.37,9.35,603348
2019-04-17,24.34,24.91,25.23,24.34,50135,124025697.0,3.63,1.67,0.41,9.12,603348
2019-04-18,24.8,24.98,25.18,24.65,45562,113617103.0,2.13,0.28,0.07,8.28,603348
2019-04-19,24.87,24.42,24.88,24.11,40251,98307920.0,3.08,-2.24,-0.56,7.32,603348
2019-04-22,24.24,23.76,24.43,23.7,37804,90500959.0,2.99,-2.7,-0.66,6.87,603348
2019-04-23,23.79,23.15,23.95,23.11,27420,64499189.0,3.54,-2.57,-0.61,4.99,603348
2019-04-24,22.4,23.0,23.25,22.4,24361,55606572.0,3.67,-0.65,-0.15,4.43,603348
2019-04-25,22.97,21.82,22.97,21.78,26504,59270445.0,5.17,-5.13,-1.18,4.82,603348
2019-04-26,21.81,21.01,21.81,20.91,35290,75194218.0,4.12,-3.71,-0.81,5.04,603348
